10:50:20.226 |     INFO |           get_logger | === TRACK_ANALYSIS MODULE LOGGING STARTED ===
10:50:20.226 |     INFO |           get_logger | Log file: /Users/george/.FLIKA/plugins/utrack_tracking/logs/utrack_track_analysis_20250822_105020.log
10:50:20.226 |     INFO |           get_logger | Log level: DEBUG
10:50:20.226 |     INFO |           get_logger | Session ID: 20250822_105020
10:50:20.226 |     INFO |             <module> | === TRACK ANALYSIS MODULE LOADED ===
10:50:20.226 |    DEBUG |             <module> | Module file: /Users/george/.FLIKA/plugins/utrack_tracking/track_analysis.py
10:50:20.226 |    DEBUG |             <module> | Available classes: TrackAnalyzer, MotionAnalyzer
10:50:20.226 |    DEBUG |             <module> | Available functions: analyze_tracking_results
10:50:20.226 |     INFO |             <module> | Track analysis module with centralized logging ready
