14:12:43.997 |     INFO |           get_logger | === TRACK_ANALYSIS MODULE LOGGING STARTED ===
14:12:43.998 |     INFO |           get_logger | Log file: /Users/george/.FLIKA/plugins/utrack_tracking/logs/utrack_track_analysis_20250909_141243.log
14:12:43.998 |     INFO |           get_logger | Log level: DEBUG
14:12:43.998 |     INFO |           get_logger | Session ID: 20250909_141243
14:12:43.998 |     INFO |             <module> | === TRACK ANALYSIS MODULE LOADED ===
14:12:43.998 |    DEBUG |             <module> | Module file: /Users/george/.FLIKA/plugins/utrack_tracking/track_analysis.py
14:12:43.998 |    DEBUG |             <module> | Available classes: TrackAnalyzer, MotionAnalyzer
14:12:43.998 |    DEBUG |             <module> | Available functions: analyze_tracking_results
14:12:43.998 |     INFO |             <module> | Track analysis module with centralized logging ready
