15:15:46.265 |     INFO |           get_logger | === TRACK_ANALYSIS MODULE LOGGING STARTED ===
15:15:46.265 |     INFO |           get_logger | Log file: /Users/george/.FLIKA/plugins/utrack_tracking/logs/utrack_track_analysis_20250731_151546.log
15:15:46.265 |     INFO |           get_logger | Log level: DEBUG
15:15:46.265 |     INFO |           get_logger | Session ID: 20250731_151546
15:15:46.265 |     INFO |             <module> | === TRACK ANALYSIS MODULE LOADED ===
15:15:46.265 |    DEBUG |             <module> | Module file: /Users/george/.FLIKA/plugins/utrack_tracking/track_analysis.py
15:15:46.265 |    DEBUG |             <module> | Available classes: TrackAnalyzer, MotionAnalyzer
15:15:46.265 |    DEBUG |             <module> | Available functions: analyze_tracking_results
15:15:46.265 |     INFO |             <module> | Track analysis module with centralized logging ready
