11:25:26.504 |     INFO |           get_logger | === TRACK_ANALYSIS MODULE LOGGING STARTED ===
11:25:26.504 |     INFO |           get_logger | Log file: /Users/george/.FLIKA/plugins/utrack_tracking/logs/utrack_track_analysis_20251119_112526.log
11:25:26.504 |     INFO |           get_logger | Log level: DEBUG
11:25:26.504 |     INFO |           get_logger | Session ID: 20251119_112526
11:25:26.504 |     INFO |             <module> | === TRACK ANALYSIS MODULE LOADED ===
11:25:26.504 |    DEBUG |             <module> | Module file: /Users/george/.FLIKA/plugins/utrack_tracking/track_analysis.py
11:25:26.504 |    DEBUG |             <module> | Available classes: TrackAnalyzer, MotionAnalyzer
11:25:26.504 |    DEBUG |             <module> | Available functions: analyze_tracking_results
11:25:26.504 |     INFO |             <module> | Track analysis module with centralized logging ready
