13:14:54.088 |     INFO |           get_logger | === TRACK_ANALYSIS MODULE LOGGING STARTED ===
13:14:54.088 |     INFO |           get_logger | Log file: /Users/george/.FLIKA/plugins/utrack_tracking/logs/utrack_track_analysis_20250822_131454.log
13:14:54.088 |     INFO |           get_logger | Log level: DEBUG
13:14:54.088 |     INFO |           get_logger | Session ID: 20250822_131454
13:14:54.089 |     INFO |             <module> | === TRACK ANALYSIS MODULE LOADED ===
13:14:54.089 |    DEBUG |             <module> | Module file: /Users/george/.FLIKA/plugins/utrack_tracking/track_analysis.py
13:14:54.089 |    DEBUG |             <module> | Available classes: TrackAnalyzer, MotionAnalyzer
13:14:54.089 |    DEBUG |             <module> | Available functions: analyze_tracking_results
13:14:54.089 |     INFO |             <module> | Track analysis module with centralized logging ready
