Experiment,TrackID,NetDispl,Straight,Bending,Efficiency,Asymmetry,radiusGyration,Skewness,Kurtosis,fracDimension,Gaussianity_Lag5,alphaTau_Lag5,trackLengths,Elected_Label
tdTomato_CytoD,90,7.585166116574237,-0.3098357525018246,0.10495820795404892,0.0008103954615850218,0.291252051023763,1.1671612819194246,0.03193258000492917,4.739004889711747,1.8770152243547842,5.544167698305055,0.3429131761917844,335,confined
tdTomato_CytoD,94,1.0923106151558009,-0.4206678771726071,-0.06117754696746312,2.4142065253861817e-05,0.027803956895278256,0.4544981978904397,0.025697198001200204,0.1267299109661031,3.6980771390646088,0.2793492387269272,0.06230907282353638,399,trapped
tdTomato_CytoD,164,4.037421680291484,-0.17483617198176954,0.0726609680722044,0.00025606631672920276,0.11589335079050535,2.6932570147404093,0.0038017434071982593,0.7678921090696229,2.3328367045747043,0.16593094764786587,0.3612385880808157,210,confined
tdTomato_CytoD,201,0.2999535266090145,-0.3875640442593658,0.011077907794759556,3.9207724115814566e-06,0.017879347146302394,0.3646110550347728,-0.3794935205624799,0.13864221510660624,4.08143783815981,-0.046061713417357215,0.4959105023960479,323,trapped
tdTomato_CytoD,218,0.2975102886006192,-0.3743025223990461,-0.08531422747619108,9.371705477581017e-06,0.031034437188914663,0.35808057102266344,-0.13501149730673506,0.10875373303924896,3.835282725120043,0.04908687715358573,0.3501768146878143,215,trapped
tdTomato_CytoD,225,2.4721015526165715,-0.23127332984426865,-0.030876145441843764,0.00013396574265835462,0.33256762485143737,1.1742767398541798,0.11419995294206682,0.7823276300727184,2.4589131959323294,0.3302511362392471,0.5195098394201698,452,trapped
tdTomato_CytoD,227,0.4514510247650229,-0.4149272894799922,0.08584295731908999,1.1539423525772212e-05,0.011749955806143544,0.29588201892884125,-0.14525241831108116,1.2892396953168035,3.924296129391817,0.23993789959133904,0.06709640514224237,328,trapped
tdTomato_CytoD,246,3.3012579902071857,-0.28801222611399,-0.01087881446297252,0.0002834849094557893,0.3462842144377594,1.8620121172309425,-0.13177230440689228,0.9030652759372582,2.118588163046208,2.1791548880142537,0.7209687252692072,204,confined
tdTomato_CytoD,260,12.407628898825465,-0.2743382549369512,0.09079669972226494,0.0010797935846040612,0.12274175489432475,1.160908979855479,0.2367666548769519,1.2349600113793129,2.1087119113366777,2.111637596170889,0.34564278819789457,485,mobile
tdTomato_CytoD,273,1.5793382285599922,-0.3657498146327491,-0.007222739187493659,1.7845377024591464e-05,0.006092115270890935,1.046265789535381,-0.2720976285143332,0.6360889562540062,2.9392525957419062,0.4584265236762784,0.4297479207178591,338,confined
tdTomato_CytoD,295,2.326966715328157,-0.3105612414276166,0.0634873029719487,0.00029656861186116583,0.06797045997348684,0.6971391330860829,-0.1448081893597577,-0.3593487535306608,2.785587253747616,0.8358143584540443,-0.03221865645851617,216,trapped
tdTomato_CytoD,302,0.8586431379072326,-0.3567979177094269,-0.04385705487406908,2.026208076314185e-05,0.06636578320980678,0.6638869745298304,0.13718892951646755,1.5957143389621962,2.596753610854732,2.0243324187936675,-0.2576015868016411,324,trapped
tdTomato_CytoD,304,10.877063341907155,-0.0379323892440426,-0.01511381627826381,0.001414071957381295,0.3096634832020558,2.8820406928401265,0.04023322446686916,0.9092706425690072,2.074132826570032,0.3534173309469495,0.703061584589735,243,mobile
tdTomato_CytoD,314,0.8978594212121316,-0.19135881516993733,-0.04074220763376162,2.8354663179789147e-05,0.2823200948694821,1.8473323129635324,0.3240527843014949,1.7148372990438825,2.0040152769488317,0.6074488181939901,0.5985835491912187,248,confined
tdTomato_CytoD,332,6.372919953446617,-0.0746358261887862,-0.053643928321016464,0.0006187794430269356,0.009010231178958078,1.6303629750279,0.16119303914923747,1.288312294290714,2.58283901023925,0.1675611715393739,0.6309186169456718,246,mobile
tdTomato_CytoD,335,2.6493797368694763,-0.2770872265204777,0.029489096826819005,0.00034470684632295547,0.4879728377977293,1.7750850488079335,0.12624955113437386,3.455714876579516,2.2824992839568896,0.2238684213888001,0.5408898482566629,211,confined
tdTomato_CytoD,350,9.466426338984892,-0.2903846626546581,0.010542490495461434,0.00239943962477477,0.3081536612661261,2.8556142152773307,0.7811064607650141,3.3426397206123832,1.808466301408202,4.128394504144247,0.5571191212879594,279,mobile
tdTomato_CytoD,379,1.834673787556404,-0.20595481843969574,0.03740944018389032,5.205271150838029e-05,0.0293538933799279,2.1753792740079456,-0.016127817970616364,1.5896761436072993,2.170505303117141,0.8986387468207502,0.5639572841483439,289,confined
tdTomato_CytoD,383,1.7312053070231326,-0.1755775290121907,-0.006681311913346898,5.514254787067909e-05,0.496856840520968,3.9369561892515086,0.17899277452771076,0.9002063328013428,1.809142087759876,1.0563865812431166,1.0674700248976627,243,mobile
tdTomato_CytoD,398,3.1752107818780524,-0.21664907433293687,0.03770219530548489,0.0002790228731625284,0.1145403222814528,1.6621878348462908,-0.18669101002653465,2.190197427547816,2.194628320260028,0.8212050928270132,0.6866725510305605,208,confined
tdTomato_CytoD,405,2.5323535083394124,-0.10112532477102502,-0.024514494505138915,0.00013290090390379034,0.020898000216813508,1.8363852503600893,-0.2896305232174305,1.7984668912543595,2.4273077063131785,0.6519459622788266,0.4905051507189671,206,confined
tdTomato_CytoD,407,4.5545075273703635,-0.2625092811643964,0.1066875723797985,0.00043535654607259147,0.1718150086606067,1.659558597289502,-0.20781166324542075,1.6782504340816518,2.753179678260953,0.2381290285749897,0.25078825128955,247,confined
tdTomato_CytoD,437,1.0627303999051665,-0.3486732489820595,-0.028667844313583744,6.842833775570844e-05,0.18221230050854528,0.6072896034407169,0.12037701496377813,0.7224156335461847,2.9882176500759385,0.4332011921438896,-0.03261702331138983,241,trapped
tdTomato_CytoD,448,2.5928519967569748,-0.1617912088500479,0.01989524195333657,0.00012241555225686235,0.0013719650861653016,2.4082312903219134,0.29537669642054776,2.141637948715396,2.083493073041613,0.5822975520376203,0.5613867646497996,248,mobile
tdTomato_CytoD,450,0.8976783767888946,-0.21511448436406244,0.02381300073495884,3.154837785963629e-05,0.057812000368888776,0.837456908283641,-0.1407233384491688,0.18544565136498686,2.9393944283165894,0.1731000490077248,-0.00899297845852745,251,trapped
