,ROI #,Mean Distance (nm),405/640 N,405/561 N,405/640 Volume (nm^3),405/561 Volume (nm^3),405/640 Centeroid,405/561 Centeroid
0,0,170.86063111428174,136,4,21815701.726841457,0.0,[ 27760.33897059  27617.28970588   -142.91166824],[  2.78417000e+04   2.75756000e+04   1.43412000e+00]
1,1,196.5681228322943,87,21,2171623.922268754,9319.892339021777,[ 28326.29195402  23006.97356322    -92.76988966],[  2.83928905e+04   2.31561333e+04   1.65691552e+01]
2,2,243.7873781596967,99,37,10576270.623550959,1212442.6770114899,[  3.08248606e+04   2.85220586e+04   1.77436057e+01],[ 30609.26216216  28520.28918919    -96.03893243]
3,3,186.30027046906108,45,39,4242126.492216142,3487271.070377666,[ 28885.62222222  28027.12          -92.67143778],[ 28822.13333333  28025.31538462     82.4676359 ]
4,4,102.70425478737559,41,43,871191.3677146602,1569155.607952618,[ 34445.45853659  25588.17317073    -88.45559024],[ 34526.88139535  25538.42325581   -126.44806302]
5,5,153.20166961274865,57,31,5713929.30668054,1237874.6093016006,[  3.33718000e+04   2.76692018e+04   2.10253954e+01],[ 33362.69677419  27624.83225806    167.37849806]
6,6,104.95162888603366,51,69,4088889.949873211,9108012.614576524,[ 31255.53137255  28159.72352941    -90.27217059],[ 31304.84202899  28234.68115942    -35.8235042 ]
7,7,24.97093013205121,27,49,1725767.793567935,2809240.7122905077,[ 31563.01111111  29131.53333333    -62.76934815],[ 31582.44489796  29144.01632653    -72.25882449]
8,8,294.15256988438523,68,60,6916691.81609892,1393873.1465286636,[ 33461.35        29418.63235294     65.01201029],[ 33260.03333333  29329.96333333   -130.27019333]
9,9,116.21515189599273,78,42,9939717.228397539,1521170.0232399574,[ 32936.17948718  26401.46025641    -46.45514423],[ 33036.35        26440.83333333    -90.29109643]
10,10,133.12315181959474,91,37,10726659.822305568,2518027.6157318135,[ 36929.21538462  24662.22527473    -81.33563077],[  3.69787027e+04   2.45892054e+04   1.83683189e+01]
11,11,328.71377398194124,43,73,1025800.4633552936,8231755.460651027,[ 28357.98604651  30540.84418605   -121.40018233],[ 28508.38356164  30258.79863014    -44.6953126 ]
12,12,209.25969757547995,169,7,44498969.7299277,0.0,[ 33407.73668639  24519.91538462   -178.27406568],[ 33541.6         24646.32857143    -78.82588571]
13,13,139.80385966385123,79,37,4571457.993674986,598348.5124775053,[ 30683.51139241  24693.78227848    -95.26808557],[  3.06409622e+04   2.46486919e+04   3.00376973e+01]
14,14,229.9334578433052,82,46,6943887.796708142,2037279.440529673,[ 31789.9097561   30108.72682927    -59.22047439],[ 31846.6326087   29946.35217391   -211.81924348]
15,15,132.109567387218,95,29,7190549.774731768,1038391.1186283343,[ 33385.32105263  23373.00421053   -121.21122695],[  3.33857966e+04   2.34125931e+04   4.82619310e+00]
16,16,92.6471303367086,110,18,13389410.76479242,1434916.0142600054,[ 28205.81090909  29534.80545455    -30.15462842],[  2.81324333e+04   2.95482111e+04   2.47954444e+01]
17,17,172.29527244692605,68,48,8244512.592624695,3082313.2006055266,[ 30733.41029412  27288.71911765   -112.20360056],[ 30725.45833333  27452.90625      -163.8273625 ]
18,18,274.59433767469324,40,52,1582603.5953040018,989519.9716934784,[ 35400.4575     25574.38         -95.3993025],[ 35152.57884615  25692.27115385    -87.65985192]
19,19,98.55532830382393,50,46,1812453.6591228622,2729992.6792732207,[ 36181.2       26040.88         72.695216],[  3.61957348e+04   2.60244804e+04  -2.33930096e+01]
20,20,173.8367734447708,52,44,3566823.3039025315,544587.574424489,[ 33824.60769231  24842.03076923    -74.62164806],[ 33865.43636364  24816.09318182     92.34986136]
21,21,264.78683379174987,69,51,4049790.4094891837,1943384.3148385237,[ 29903.61304348  28354.89275362    -78.87276551],[ 30107.90196078  28192.20196078    -35.1713749 ]
22,22,89.11943211033285,87,5,5752809.19467796,0.0,[ 26149.13218391  24608.57931034   -146.33821425],[ 26224.8    24571.6     -175.479]
23,23,190.31561782788833,31,41,1335498.4547990267,551305.8847633462,[  2.73752871e+04   3.01011871e+04  -1.13996077e+01],[ 27200.35365854  30150.33414634    -67.99372488]
24,24,168.8040141489521,49,43,3687904.2726771124,3702255.284353436,[ 32483.46530612  26775.33673469   -101.4378102 ],[ 32474.36511628  26707.91395349     53.04892163]
25,25,132.34203540157668,41,63,2229294.154670821,3137228.984487054,[  3.33002634e+04   2.93713366e+04  -2.89509122e+01],[ 33282.8         29311.17936508   -145.52943651]
26,26,96.75958260688765,32,84,1682556.8086977222,3917876.342026532,[  2.87264844e+04   2.93869031e+04   8.69772313e+00],[ 28677.27738095  29376.41547619     91.34817857]
27,27,113.27952076749847,55,53,1609575.8066476302,1124693.651283849,[  3.65521927e+04   2.87280364e+04  -1.50193309e+01],[  3.66457189e+04   2.87910340e+04  -4.22982642e+00]
28,28,178.59792816017523,42,58,1159976.0784029996,723854.3576884408,[ 31949.39285714  31201.07142857    171.24887381],[  3.18991828e+04   3.12436845e+04   5.23594190e+00]
29,29,108.65962780450498,24,52,281507.5038331703,1242656.8139318752,[ 27532.27916667  28994.40416667   -137.57530833],[ 27571.22307692  29063.12692308    -62.95983192]
